,MJD,OBSID,SEQ-E2V,SEQ-ITL
13147,59557.078239433,MC_C_20211208_000033,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13146,59556.33218034729,MC_C_20211207_000856,FP_E2V_2s_ir2_v23_ITLISO2pp.seq,FP_ITL_2s_ir2_v23_ITLISO2pp.seq
13117,59547.96279907413,MC_C_20211129_000384,FP_E2V_2s_ir2_v23_ReadPixelAsIF.seq,FP_ITL_2s_ir2_v23_ReadPixelAsIF.seq
13149,59558.01050530095,MC_C_20211209_001600,FP_E2V_2s_ir2_v23_RTp30pct.seq,FP_ITL_2s_ir2_v23_RTp30pct.seq
13136,59551.709014884196,MC_C_20211203_000034,FP_E2V_2s_ir2_v23_p1.seq,FP_ITL_2s_ir2_v23_p1.seq
13051,59536.00539611094,MC_C_20211117_000076,FP_E2V_2s_ir2_v23_FC100.seq,FP_ITL_2s_ir2_v23_FC100.seq
13143,59555.113765080925,MC_C_20211206_000502,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13180,59564.86075576395,MC_C_20211216_001163,FP_E2V_2s_ir2_v26.seq,
13202,59568.06219068309,MC_C_20211219_000785,FP_E2V_2s_ir2_v23.seq,FP_ITL_2s_ir2_v23.seq
13206,59568.804219143465,MC_C_20211220_000003,FP_E2V_2s_ir2_v26.seq,
13211,59568.83010078687,MC_C_20211220_000064,FP_E2V_2s_ir2_v26.seq,
13151,59558.52405221062,MC_C_20211210_000041,FP_E2V_2s_ir2_v26_3000.seq,FP_ITL_2s_ir2_v26_3000.seq
13169,59562.87049578689,MC_C_20211214_000041,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13138,59552.882239907514,MC_C_20211204_000175,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13112,59547.13663109951,MC_C_20211128_000240,FP_E2V_2s_ir2_v23_ReadPixelAsIF.seq,FP_ITL_2s_ir2_v23_ReadPixelAsIF.seq
13110,59546.95779719902,MC_C_20211128_000193,FP_E2V_2s_ir2_v23_ReadPixelAsIF.seq,FP_ITL_2s_ir2_v23_ReadPixelAsIF.seq
13153,59559.6478032521,MC_C_20211211_000004,FP_E2V_2s_ir2_v23_ISO1p10pct.seq,FP_ITL_2s_ir2_v23_ISO1p10pct.seq
13198,59566.10445317114,MC_C_20211217_001722,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13229,59570.77073813649,MC_C_20211222_000109,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13210,59568.82528419001,MC_C_20211220_000050,FP_E2V_2s_ir2_v26_TL.seq,
13221,59568.958247778006,MC_C_20211220_000193,FP_E2V_2s_ir2_v26.seq,
13104,59544.99813040532,MC_C_20211126_000061,FP_E2V_2s_ir2_v23_PA2.seq,FP_ITL_2s_ir2_v23_PA2.seq
13099,59543.82499582181,MC_C_20211125_000209,FP_E2V_2s_ir2_v23_ISO2m10pct.seq,FP_ITL_2s_ir2_v23_ISO2m10pct.seq
13145,59556.13169031264,MC_C_20211207_000826,FP_E2V_2s_ir2_v23_ISO1mm.seq,FP_ITL_2s_ir2_v23_ISO1mm.seq
13203,59568.18061447935,MC_C_20211219_001195,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13072,59538.112758310046,MC_C_20211119_000183,FP_E2V_2s_ir2_v23.seq,FP_ITL_2s_ir2_v23.seq
13251,59578.02235488407,MC_C_20211229_001250,FP_E2V_2s_ir2_v26.seq,
13241,59573.983442604076,MC_C_20211225_002574,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq
13049,59535.924678252544,MC_C_20211117_000046,FP_E2V_2s_ir2_v23.seq,FP_ITL_2s_ir2_v23.seq
