,,AP0_RC,AP1_RC,AP0_GAIN,AP1_GAIN,RUNNUM
13147,E2V,14,14,0,0,13147
13147,ITL,14,14,0,0,13147
13146,E2V,3,3,0,0,13146
13146,ITL,3,3,0,0,13146
13117,E2V,9,9,0,0,13117
13117,ITL,9,9,0,0,13117
13149,E2V,3,3,0,0,13149
13149,ITL,3,3,0,0,13149
13136,ITL,3,3,0,0,13136
13136,E2V,3,3,0,0,13136
13051,E2V,3,3,0,0,13051
13051,ITL,3,3,0,0,13051
13143,E2V,14,14,0,0,13143
13143,ITL,14,14,0,0,13143
13180,E2V,14,14,0,0,13180
13202,E2V,3,3,0,0,13202
13202,ITL,3,3,0,0,13202
13206,E2V,14,14,0,0,13206
13211,E2V,14,14,0,0,13211
13151,ITL,14,14,0,0,13151
13151,E2V,14,14,0,0,13151
13169,E2V,3,3,0,0,13169
13169,ITL,3,3,0,0,13169
13138,E2V,14,14,0,0,13138
13138,ITL,14,14,0,0,13138
13112,ITL,9,9,0,0,13112
13112,E2V,9,9,0,0,13112
13110,E2V,9,9,0,0,13110
13110,ITL,9,9,0,0,13110
13153,ITL,3,3,0,0,13153
13153,E2V,3,3,0,0,13153
13198,ITL,14,14,0,0,13198
13229,E2V,14,14,0,0,13229
13210,E2V,14,14,0,0,13210
13221,E2V,14,14,0,0,13221
13104,ITL,3,3,0,0,13104
13104,E2V,3,3,0,0,13104
13099,ITL,3,3,0,0,13099
13099,E2V,3,3,0,0,13099
13145,E2V,3,3,0,0,13145
13145,ITL,3,3,0,0,13145
13203,E2V,14,14,0,0,13203
13203,ITL,14,14,0,0,13203
13072,E2V,9,9,0,0,13072
13072,ITL,9,9,0,0,13072
13251,E2V,14,14,0,0,13251
13241,E2V,14,14,0,0,13241
13241,ITL,14,14,0,0,13241
13049,E2V,3,3,0,0,13049
13049,ITL,3,3,0,0,13049
13082,E2V,3,3,0,0,13082
13082,ITL,3,3,0,0,13082
13161,ITL,14,14,0,0,13161
13161,E2V,14,14,0,0,13161
13041,E2V,3,3,0,0,13041
13041,ITL,3,3,0,0,13041
