Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
58880.0,2.0317044017590535,LCA-11021_RTM-014,ITL-3800C-455,13053,Segment12,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R20_S21.fits
52833.0,1.9358108362496287,LCA-11021_RTM-011,ITL-3800C-083,13053,Segment10,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R01_S00.fits
60562.0,2.9374960215355506,LCA-11021_RTM-014,ITL-3800C-307,13053,Segment15,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R20_S00.fits
69458.0,1.4954672444352994,LCA-11021_RTM-020,E2V-CCD250-359,13053,Segment06,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R11_S02.fits
62063.0,3.2975670920847877,LCA-11021_RTM-017,ITL-3800C-454,13053,Segment17,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R03_S11.fits
60188.0,2.508468916568259,LCA-11021_RTM-023,ITL-3800C-207,13053,Segment02,4328e348af809dfa,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000132/MC_C_20211117_000132_R10_S22.fits
23146.0,2.206791705847121,LCA-11021_RTM-018,ITL-3800C-510,13055,Segment14,2900116cabe395d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000185/MC_C_20211117_000185_R42_S21.fits
26438.0,1.5602133990588538,LCA-11021_RTM-020,E2V-CCD250-359,13055,Segment13,2900116cabe395d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000185/MC_C_20211117_000185_R11_S02.fits
26829.0,3.5747662775554647,LCA-11021_RTM-020,E2V-CCD250-359,13055,Segment05,2900116cabe395d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000185/MC_C_20211117_000185_R11_S02.fits
26774.0,4.3457792663486305,LCA-11021_RTM-020,E2V-CCD250-359,13055,Segment03,2900116cabe395d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000185/MC_C_20211117_000185_R11_S02.fits
26858.0,2.5452974308818996,LCA-11021_RTM-020,E2V-CCD250-359,13055,Segment02,2900116cabe395d,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000185/MC_C_20211117_000185_R11_S02.fits
26440.0,2.4222469925700656,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment13,90a59cb4df366e58,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000050/MC_C_20211117_000050_R11_S02.fits
26980.0,2.9968492186296625,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment06,90a59cb4df366e58,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000050/MC_C_20211117_000050_R11_S02.fits
26824.0,3.0358146233391072,LCA-11021_RTM-020,E2V-CCD250-359,13049,Segment05,90a59cb4df366e58,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211117/MC_C_20211117_000050/MC_C_20211117_000050_R11_S02.fits
