Bright Pixel (ADU),Bias Shift (ADU),RAFTNAME,LSST_NUM,RUNNUM,EXTNAME,IMAGETAG,Filename
24527.0,0.8636383976191205,LCA-11021_RTM-011,ITL-3800C-083,13035,Segment10,7ee428afb857bf35,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000017/MC_C_20211114_000017_R01_S00.fits
23980.0,1.1599894054272906,LCA-11021_RTM-011,ITL-3800C-083,13073,Segment15,1d707480ebb42e2a,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211119/MC_C_20211119_000227/MC_C_20211119_000227_R01_S00.fits
26429.0,1.3324696927217157,LCA-11021_RTM-011,ITL-3800C-226,13035,Segment07,b42845ab32814fa8,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000116/MC_C_20211114_000116_R01_S01.fits
26105.0,1.015764614199092,LCA-11021_RTM-011,ITL-3800C-226,13035,Segment17,a42a824f54be5fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000022/MC_C_20211114_000022_R01_S01.fits
24158.0,2.2941199963017938,LCA-11021_RTM-011,ITL-3800C-136,13073,Segment04,a828218824d07fe,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000094/MC_C_20211120_000094_R01_S02.fits
24760.0,1.4027633608507233,LCA-11021_RTM-011,ITL-3800C-136,13035,Segment10,2520aa8793a7ee91,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211114/MC_C_20211114_000023/MC_C_20211114_000023_R01_S02.fits
22066.0,2.7839625787159044,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment16,e7184744422dc571,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000043/MC_C_20211120_000043_R01_S10.fits
22064.0,1.8645730562735108,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment16,e7184744422dc571,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000043/MC_C_20211120_000043_R01_S10.fits
25465.0,2.6985718353081896,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment17,e7184744422dc571,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000043/MC_C_20211120_000043_R01_S10.fits
25463.0,1.795555250380747,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment17,e7184744422dc571,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000043/MC_C_20211120_000043_R01_S10.fits
22068.0,1.0986776947726964,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment16,bfe744b8a947b11,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000001/MC_C_20211120_000001_R01_S10.fits
25458.0,2.865017645974921,LCA-11021_RTM-011,ITL-3800C-034,13073,Segment17,bfe744b8a947b11,/sdf/group/lsst/camera/IandT/rawData/focal-plane/20211120/MC_C_20211120_000001/MC_C_20211120_000001_R01_S10.fits
